description,department
water not coming from tap at our office since 5 hours,Water Supply
voltage failure at our office,Electricity
missing road signboard near the signal,Traffic
fight broke out near the junction,Police
borewell not working in our area,Water Supply
drain overflow causing waterlogging on the highway,Municipal
car broken into near the temple,Police
domestic violence complaint in our colony,Police
water leakage wasting water on the highway,Water Supply
no sanitation workers coming to our colony,Municipal
no electricity in our office since since yesterday,Electricity
footpath broken on service road,Traffic
electricity problem in my our shop,Electricity
new electricity connection needed at our apartment,Electricity
sewage line choked in our ward,Municipal
water leakage wasting water on our street,Water Supply
transformer fault in our our area,Electricity
power fluctuation affecting appliances in our office,Electricity
electricity bill issue for our apartment,Electricity
sewage overflow on our road,Municipal
autos blocking the bypass,Traffic
miscellaneous issue in our area,General
wrong side driving on our road,Traffic
road damage due to rain on main road,Traffic
someone attacked me near the temple,Police
electricity outage in my my house,Electricity
bus stop damaged near our gate,Traffic
sewage overflow on service road,Municipal
no water supply in our colony since since last night,Water Supply
street light fault near our gate,Electricity
no drinking water available in our area,Water Supply
electricity bill issue for our shop,Electricity
missing road signboard near the school,Traffic
no speed breaker near the school,Traffic
missing road signboard near our gate,Traffic
general complaint about our locality,General
car broken into near our gate,Police
street light problem near the bus stop,Electricity
power outage in our our street,Electricity
electricity bill failure for my house,Electricity
illegal activity happening near the bus stop,Police
no water supply in our locality since 3 days,Water Supply
someone assaulted me near the market,Police
someone hit me near the signal,Police
burglary at house in our locality,Police
no water supply in our ward since since morning,Water Supply
suspicious person roaming in our ward,Police
burglary at house in our neighborhood,Police
no electricity in our apartment since since last night,Electricity
garbage smell unbearable in our area,Municipal
signal not changing at the signal,Traffic
street light issue near the bus stop,Electricity
biomedical waste dumped openly near the school,Municipal
water problem at our building,Water Supply
something wrong in our colony,General
flyover lights not working near our gate,Traffic
drain blocked near our gate,Municipal
public disorder near the signal,Police
harassment by neighbor in our locality,Police
road marking faded on main road,Traffic
litter everywhere on the bypass,Municipal
public disorder near the school,Police
short circuit occurred near our office,Electricity
the lane very dirty no cleaning done,Municipal
chain snatching near the market,Police
sewage overflow on main road,Municipal
no drinking water available in our neighborhood,Water Supply
water tank not filled in our area for since last night,Water Supply
garbage heap near the market,Municipal
road needs repair near the bus stop,Traffic
traffic light broken at the signal,Traffic
tap water smells bad at our office,Water Supply
assault complaint near the bus stop,Police
new electricity connection needed at our flat,Electricity
no drinking water available in our block,Water Supply
no electricity in our office since a week,Electricity
signal not changing at the bus stop,Traffic
robbery happened at my house yesterday,Police
public nuisance in our street,General
traffic signal not working at the temple,Traffic
drain blocked near the market,Municipal
construction waste dumped on the bypass,Municipal
eve teasing happening on our road,Police
current is not there since since last night,Electricity
water problem at our flat,Water Supply
wrong side driving on main road,Traffic
water tank not filled in our street for a week,Water Supply
fight broke out out near the temple,Police
assault complaint near the signal,Police
electric meter broken at our apartment,Electricity
transformer issue in our our block,Electricity
signal not changing at the temple,Traffic
power fluctuation damaging appliances in our shop,Electricity
water logging due to pipeline overflow on the lane,Water Supply
wires hanging dangerously near the school,Electricity
manhole open and dangerous on our street,Municipal
gold chain stolen from our apartment,Police
sweeper not cleaning our street,Municipal
road marking faded on our road,Traffic
road is dangerous due to potholes on the highway,Traffic
muddy water from tap at my house,Water Supply
electric pole is damaged on the bypass,Electricity
civic problem in our neighborhood,General
no piped water connection in our area,Water Supply
bus stop damaged near the school,Traffic
wires hanging dangerously near the temple,Electricity
tap water smells bad at our apartment,Water Supply
the highway very dirty no cleaning done,Municipal
water not coming from tap at my house since 5 hours,Water Supply
illegal activity happening near the park,Police
sanitation problem in our street since 2 days,Municipal
short circuit happened near our building,Electricity
water not coming from tap at our office since since last night,Water Supply
transformer broken in our our street,Electricity
drain blocked near the bus stop,Municipal
burglary at house in our ward,Police
traffic jam on our road,Traffic
civic problem in our street,General
water meter broken at our office,Water Supply
our street very dirty no cleaning done,Municipal
water tanker not arrived in our neighborhood,Water Supply
noise complaint violent situation near the temple,Police
no power supply for since morning,Electricity
construction waste dumped on main road,Municipal
domestic violence complaint in our street,Police
electric pole is damaged on service road,Electricity
sanitation problem in our colony since since morning,Municipal
water not coming from tap at our apartment since 3 days,Water Supply
extortion threat received in our colony,Police
car broken into near the bus stop,Police
no speed breaker near the park,Traffic
garbage truck not coming to our block,Municipal
electricity bill not working for our apartment,Electricity
construction blocking traffic on the bypass,Traffic
water contamination in our ward,Water Supply
muddy water from tap at our apartment,Water Supply
water tank not filled in our locality for since yesterday,Water Supply
no zebra crossing on service road,Traffic
no speed breaker near the signal,Traffic
waste burning near houses in our block,Municipal
grievance from our area,General
yellow water from tap in our apartment,Water Supply
illegal gambling in our street,Police
no water supply in our neighborhood since since yesterday,Water Supply
garbage not collected in our block for 5 hours,Municipal
vandalism on the highway,Police
public nuisance in our colony,General
vandalism on service road,Police
sanitation problem in our colony since 3 days,Municipal
robbery happened at our apartment last night,Police
tap is dry no water coming at my house,Water Supply
garbage not collected in our area for since yesterday,Municipal
garbage bin overflowing near the junction,Municipal
electricity bill broken for our flat,Electricity
road caved in due to rain on our street,Traffic
electric meter failure at our flat,Electricity
no water supply in our area since 2 days,Water Supply
road is dangerous due to potholes on main road,Traffic
public disorder near the market,Police
pothole causing accidents on the lane,Traffic
wrong side driving on our street,Traffic
water supply irregular in our ward,Water Supply
construction waste dumped on the lane,Municipal
no zebra crossing on the bypass,Traffic
